Name,University,Bachelors,Masters,Doctorate,PostDoc,JoinYear,Rank,Subfield,Gender,PhotoURL,Sources,LastUpdateBy,LastUpdatedDate
Avrim Blum,Carnegie Mellon University,,,Massachusetts Institute of Technology - USA,,1991,Full,Machine Learning & Pattern Recognition,Male,http://www.cs.cmu.edu/~avrim/me.gif,http://en.wikipedia.org/wiki/Avrim_Blum,8587,2017-11-11
Barnabás Póczos,Carnegie Mellon University,,Eotvos University - Budapest - Hungary,Eotvos University - Budapest - Hungary,University of Alberta - Canada,2010,Assistant,Algorithms & Theory,,,http://www.cs.cmu.edu/~bapoczos/,7014,2017-04-04
Bhiksha Raj,Carnegie Mellon University,Indian Institute of Technology - Madras - India,,Carnegie Mellon University - USA,,,Associate,Natural Language & Speech,,,http://mlsp.cs.cmu.edu/people/bhiksha/index.php,9865,2018-06-12
Brad Myers,Carnegie Mellon University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Toronto - Canada,,1987,Full,Human-Computer Interaction,,,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/bam/www/resume.html,7014,2017-04-04
Carl Kingsford,Carnegie Mellon University,,,Princeton University - USA,,2012,Associate,Bioinformatics & Computational Biology,,,https://www.umiacs.umd.edu/people/carlk,7014,2017-04-04
Carolyn Penstein Rose,Carnegie Mellon University,University of California - Irvine - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,2003,Associate,Natural Language & Speech,,,http://www.cs.cmu.edu/~cprose/2013-CV-Rose-External-Web.pdf,7014,2017-04-04
Chris Atkeson,Carnegie Mellon University,,Harvard University - USA,Massachusetts Institute of Technology - USA,,2000,Full,Human-Computer Interaction,,,http://www.cs.cmu.edu/~cga/,7281,2017-04-24
Chris Harrison,Carnegie Mellon University,New York University - USA,New York University - USA,Carnegie Mellon University - USA,,2013,Assistant,Human-Computer Interaction,,,http://www.chrisharrison.net/HarrisonCVweb.pdf,7014,2017-04-04
Christian Kästner,Carnegie Mellon University,,Otto von Guericke University of Magdeburg - Germany,Otto von Guericke University of Magdeburg - Germany,,2012,Assistant,Software Engineering,,,http://www.cs.cmu.edu/~ckaestne/,7014,2017-04-04
Christine Neuwirth,Carnegie Mellon University,University of Wisconsin - Madison - USA,Stony Brook University - USA,Carnegie Mellon University - USA,,1983,Full,Human-Computer Interaction,,,http://www.cmu.edu/hss/english/people/faculty/bios/chris-neuwirth.html,7014,2017-04-04
Christopher Dyer,Carnegie Mellon University,Duke University - USA,,University of Maryland - College Park - USA,Carnegie Mellon University - USA,2012,Assistant,Natural Language & Speech,,,https://www.cs.cmu.edu/~cdyer/,7014,2017-04-04
Christopher Langmead,Carnegie Mellon University,Oberlin College - USA,Dartmouth College - USA,Dartmouth College - USA,,,Associate,Bioinformatics & Computational Biology,Male,,http://www.cs.cmu.edu/~cjl/,7014,2017-04-04
Christos Faloutsos,Carnegie Mellon University,National Technical University of Athens - Greece,University of Toronto - Canada,University of Toronto - Canada,,1998,Full,Data Mining,Male,http://www.cs.cmu.edu/~christos/PHOTOS/cf2014-tn.jpg,http://www.cs.cmu.edu/~christos/webvitae.pdf,2,2015-10-09
Claire Le Goues,Carnegie Mellon University,Harvard University - USA,University of Virginia - USA,University of Virginia - USA,,2013,Assistant,Software Engineering,,,http://www.cs.cmu.edu/~clegoues/#longer,7014,2017-04-04
Daniel D. Sleator,Carnegie Mellon University,,,Stanford University - USA,,1999,Full,Algorithms & Theory,Male,http://www.cs.cmu.edu/~sleator/pictures/pic2-crop-50.jpg,http://www-2.cs.cmu.edu/~sleator/,7014,2017-04-04
Daniel P. Siewiorek,Carnegie Mellon University,University of Michigan - USA,Stanford University - USA,Stanford University - USA,,1972,Full,Human-Computer Interaction,Male,http://www.cs.cmu.edu/~dps/dan.gif,http://www.cmu.edu/qolt/People/leadership/siewiorek-dan.html,2,2015-10-09
Dannie Durand,Carnegie Mellon University,,,Columbia University - USA,University of Pennsylvania - USA,,Associate,Bioinformatics & Computational Biology,,,http://www.cs.cmu.edu/~durand/,8790,2017-12-06
David Andersen,Carnegie Mellon University,University of Utah - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,,Associate,Networks & Communications,Male,http://www.cs.cmu.edu/~dga/dga-headshot-sm.jpg,http://www.cs.cmu.edu/~dga/,2,2015-10-09
David Brumley,Carnegie Mellon University,University of Northern Colorado - USA,Stanford University - USA,Carnegie Mellon University - USA,,,Assistant,Security & Privacy,,,http://users.ece.cmu.edu/~dbrumley/index.html,7014,2017-04-04
David Farber,Carnegie Mellon University,Stevens Institute of Technology - USA,Stevens Institute of Technology - USA,,,,Full,Programming Languages,,,http://www.epp.cmu.edu/people/bios/farber.html,7014,2017-04-04
David Garlan,Carnegie Mellon University,,,Carnegie Mellon University - USA,,,Full,Software Engineering,Male,http://www.cs.cmu.edu/~garlan/garlan_david_pic.JPG,http://www.cs.cmu.edu/~garlan/,7014,2017-04-04
David O'Hallaron,Carnegie Mellon University,Virginia Polytechnic Institute and State University - USA,University of Virginia - USA,University of Virginia - USA,,1989,Full,Scientific Computing,Male,http://www.ece.cmu.edu/directory/images/faculty/droh.jpg,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/droh/www/drohcv.pdf,2,2015-10-09
Edmund M. Clarke,Carnegie Mellon University,University of Virginia - USA,Duke University - USA,Cornell University - USA,,1982,Full,Hardware & Architecture,Male,http://www.cs.cmu.edu/~emc/images/EMC%20Photo%202013.jpg,http://www.cs.cmu.edu/~emc/bio.html,2,2015-10-09
Emma Brunskill,Carnegie Mellon University,,,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,2011,Assistant,Artificial Intelligence,Female,http://www.cs.cmu.edu/~ebrun/emma_brunskill.jpg,http://www.cs.cmu.edu/~ebrun/,6113,2016-12-31
Eric Nyberg,Carnegie Mellon University,,,Carnegie Mellon University - USA,,,Full,Natural Language & Speech,,,http://www.cs.cmu.edu/~ehn/,8429,2017-10-18
Eric Poe Xing,Carnegie Mellon University,Tsinghua University - Beijing - China,Rutgers University - USA,University of California - Berkeley - USA,,2004,Associate,Machine Learning & Pattern Recognition,,,http://www.cs.cmu.edu/~epxing/xing_cv_2013.pdf,7014,2017-04-04
Frank Pfenning,Carnegie Mellon University,Technische Universität Darmstadt - Germany,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,1986,Full,Programming Languages,Male,,http://www.cs.cmu.edu/~fp/cv.html,7014,2017-04-04
Garth Gibson,Carnegie Mellon University,University of Waterloo - Canada,University of California - Berkeley - USA,University of California - Berkeley - USA,,1991,Full,Hardware & Architecture,Male,http://www.cs.cmu.edu/~garth/webimages/gibson.jpg,http://www.cs.cmu.edu/~garth/#bio,2,2015-10-09
Gary Miller,Carnegie Mellon University,,,University of California - Berkeley - USA,,,Full,Distributed & Parallel Computing,Male,http://www.cs.cmu.edu/~glmiller/,http://www.cs.cmu.edu/~glmiller/,8587,2017-11-11
Ge Yang,Carnegie Mellon University,Tsinghua University - Beijing - China,Chinese Academy of Sciences - China,University of Minnesota - Twin Cities - USA,Scripps Research Institute - USA,2008,Assistant,Bioinformatics & Computational Biology,,,http://www.andrew.cmu.edu/user/geyang/,7014,2017-04-04
Greg Ganger,Carnegie Mellon University,University of Michigan - USA,University of Michigan - USA,University of Michigan - USA,Massachusetts Institute of Technology - USA,,Full,Operating Systems,,,http://www.ece.cmu.edu/~ganger/,7014,2017-04-04
Gustavo Rohde,Carnegie Mellon University,Vanderbilt University - USA,Vanderbilt University - USA,University of Maryland - College Park - USA,,2007,Associate,Bioinformatics & Computational Biology,,,http://www.andrew.cmu.edu/user/gustavor/rohde_cv.pdf,7014,2017-04-04
Guy Blelloch,Carnegie Mellon University,Swarthmore College - USA,,Massachusetts Institute of Technology - USA,,,Full,Distributed & Parallel Computing,Male,http://www.csd.cs.cmu.edu/people/48x64/Blelloch_Guy.jpg,http://www.cs.cmu.edu/~guyb/,7014,2017-04-04
Howie Choset,Carnegie Mellon University,University of Pennsylvania - USA,California Institute of Technology - USA,California Institute of Technology - USA,,,Full,Artificial Intelligence,,,http://www.cs.cmu.edu/~choset/bio.html,7014,2017-04-04
Hui Zhang,Carnegie Mellon University,Peking University - Beijing - China,Rensselaer Polytechnic Institute - USA,University of California - Berkeley - USA,,,Full,Networks & Communications,Male,http://www.ece.cmu.edu/directory/images/faculty/hzhang.png,http://www-2.cs.cmu.edu/~hzhang/,2,2015-10-09
J. Andrew (Drew) Bagnell,Carnegie Mellon University,University of Florida - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,2000,Associate,Artificial Intelligence,,,http://www.cmu.edu/qolt/People/researchers/bagnell-drew.html,7014,2017-04-04
J. Zico Kolter,Carnegie Mellon University,Georgetown University - USA,,Stanford University - USA,Massachusetts Institute of Technology - USA,2012,Assistant,Real-Time & Embedded Systems,Male,http://www.cs.cmu.edu/~zkolter/zkolter2.jpg,http://www.cs.cmu.edu/~zkolter/,2,2015-10-09
Jacobo Carrasquel,Carnegie Mellon University,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,1980,Associate,Computer Education,Male,http://www.cs.cmu.edu/~jxc/summer-Pict.jpg,http://www.cs.cmu.edu/~jxc/bio.html,7014,2017-04-04
Jaime Carbonell,Carnegie Mellon University,Massachusetts Institute of Technology - USA,Yale University - USA,Yale University - USA,,1995,Full,Artificial Intelligence,Male,http://www.csd.cs.cmu.edu/people/48x64/Carbonell_Jaime.jpg,http://www.cs.cmu.edu/~jgc/CVs/Carbonell%20CV%202014-Feb.pdf,2,2015-10-09
James C. Hoe,Carnegie Mellon University,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,,Associate,Hardware & Architecture,,,http://users.ece.cmu.edu/~jhoe/,7014,2017-04-04
James Herbsleb,Carnegie Mellon University,Monmouth College - USA,University of Nebraska - Lincoln - USA,University of Nebraska - Lincoln - USA,University of Michigan - USA,1994,Full,Software Engineering,,,http://herbsleb.org/,7014,2017-04-04
James Morris,Carnegie Mellon University,Carnegie Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1982,Full,Programming Languages,Male,http://www.cs.cmu.edu/~jhm/short%20biography_files/image002.gif,http://www.cs.cmu.edu/~jhm/vita.htm,7014,2017-04-04
Jamie Callan,Carnegie Mellon University,University of Connecticut - USA,University of Massachusetts - Amherst - USA,University of Massachusetts - Amherst - USA,,1999,Full,Information Retrieval,,,http://www.cs.cmu.edu/~callan/Bio.html,7014,2017-04-04
Jason Hong,Carnegie Mellon University,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,University of California - Berkeley - USA,,2004,Associate,Human-Computer Interaction,,,http://www.cs.cmu.edu/~jasonh/research/cv/cv.pdf,7014,2017-04-04
Javier Lopez,Carnegie Mellon University,,,Duke University - USA,Stanford University - USA,,Associate,Bioinformatics & Computational Biology,,,http://www.cmu.edu/bio/faculty/lopez.html,7014,2017-04-04
Jeannette M. Wing,Carnegie Mellon University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1985,Full,Programming Languages,Female,https://www.scs.cmu.edu/news/wing-brunskill-speak-summer-davos-meeting-china,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/wing/www/resume.pdf,2,2015-10-09
Jeffrey Bigham,Carnegie Mellon University,Princeton University - USA,University of Washington - USA,University of Washington - USA,,2013,Associate,Human-Computer Interaction,,,http://www.cs.cmu.edu/~jbigham/,9477,2018-05-15
Jeffrey Eppinger,Carnegie Mellon University,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,2001,Full,Software Engineering,,,http://www.jeffeppinger.com/jle/projects.html,52224,2019-05-28
Jennifer Mankoff,Carnegie Mellon University,Oberlin College - USA,,Georgia Institute of Technology - USA,,2004,Associate,Human-Computer Interaction,,,http://www.cs.cmu.edu/~jmankoff/cv.pdf,7014,2017-04-04
Jessica Hammer,Carnegie Mellon University,Harvard University - USA,New York University - USA,Columbia University - USA,,2014,Assistant,Human-Computer Interaction,,,http://dl.dropboxusercontent.com/u/789795/Hammer%20CV.pdf,7014,2017-04-04
Jessica Hodgins,Carnegie Mellon University,,,Carnegie Mellon University - USA,,2000,Full,Graphics,Female,http://www.cs.cmu.edu/~jkh/jkh.jpg,http://www.cs.cmu.edu/~jkh/,2,2015-10-09
Jodi Forlizzi,Carnegie Mellon University,Philadelphia College of Art - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,2000,Associate,Human-Computer Interaction,,,http://goodgestreet.com/docs/Forlizzi13vitae.pdf,7014,2017-04-04
John Anderson,Carnegie Mellon University,University of British Columbia - Canada,,Stanford University - USA,,1978,Full,Human-Computer Interaction,,,http://act-r.psy.cmu.edu/peoplepages/ja/ja-vita.php,7014,2017-04-04
John Zimmerman,Carnegie Mellon University,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,,2002,Associate,Human-Computer Interaction,,,http://www.cs.cmu.edu/~johnz/,7014,2017-04-04
Jonathan Aldrich,Carnegie Mellon University,University of Washington - USA,,University of Washington - USA,,2003,Associate,Scientific Computing,,,http://www.cs.cmu.edu/~aldrich/,7014,2017-04-04
Justine Cassell,Carnegie Mellon University,Dartmouth College - USA,University of Edinburgh - United Kingdom,University of Chicago - USA,,2010,Full,Human-Computer Interaction,,,http://en.wikipedia.org/wiki/Justine_Cassell,7014,2017-04-04
Karl Crary,Carnegie Mellon University,Carnegie Mellon University - USA,,Cornell University - USA,,1998,Associate,Programming Languages,Male,http://www.csd.cs.cmu.edu/people/48x64/Crary_Karl.jpg,http://www.cs.cmu.edu/~crary/,3153,2016-08-29
Kathleen M. Carley,Carnegie Mellon University,Massachusetts Institute of Technology - USA,,Harvard University - USA,,1984,Full,Human-Computer Interaction,,,http://public.tepper.cmu.edu/facultydirectory/FacultyDirectoryPrintable.aspx?id=151,7014,2017-04-04
Kathryn Roeder,Carnegie Mellon University,University of Idaho - USA,,Pennsylvania State University - USA,,1994,Full,Bioinformatics & Computational Biology,,,http://www.stat.cmu.edu/~roeder/vita.pdf,7014,2017-04-04
Kayvon Fatahalian,Carnegie Mellon University,,,Stanford University - USA,,2011,Assistant,Human-Computer Interaction,Male,https://media.licdn.com/mpr/mpr/shrink_200_200/p/4/000/137/320/022f8fa.jpg,https://www.cs.cmu.edu/~kayvonf/,7014,2017-04-04
Ken Koedinger,Carnegie Mellon University,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,Carnegie Mellon University - USA,,1990,Full,Human-Computer Interaction,,,http://pact.cs.cmu.edu/koedinger/koedingerCV.html,7014,2017-04-04
